Company_Ticker,Company_Name,Aienstein_Rating,ESG_E,ESG_S,ESG_G,ESG_Summary,Fact_Market_Cap,Fact_Market_Cap_Rating
CONN,Conns Inc,F,D,C,C,C,585.5351604,.25X
COO,"Cooper Companies, Inc.",A,C,C,D,C,20772.30616,4X
CVE,Cenovus Energy Inc,A,B,C,C,C,30929.99196,4X
CVX,Chevron Corp.,A,C,C,C,C,312771.5787,4X
CWH,Camping World Holdings Inc,F,D,C,C,C,1424.718393,.5X
CYBR,CyberArk Software Ltd,F,C,B,C,C,6242.266934,2X
DBD,Diebold Nixdorf Inc,F,B,B,C,C,590.7877048,.25X
DCP,DCP Midstream LP,A,C,C,C,C,6525.915755,2X
DKL,Delek Logistics Partners LP,D,,,,,1769.423792,.5X
DOOR,Masonite International Corp,F,C,C,C,C,2437.082382,.5X
DORM,Dorman Products Inc,F,C,C,B,C,3179.742575,1X
ECOL,US Ecology Inc.,A,C,C,C,C,1495.89002,.5X
EFX,"Equifax, Inc.",F,C,C,C,C,29376.18586,4X
EHTH,eHealth Inc,F,D,C,C,C,346.6988798,.25X
ENSG,Ensign Group Inc,A,D,C,C,C,4798.11955,1X
EPC,Edgewell Personal Care Co,F,B,C,D,C,2085.918785,.5X
EPD,Enterprise Products Partners L P,A,B,C,C,C,52733.25967,4X
ESI,Element Solutions Inc,F,B,B,C,C,5518.289137,1X
FARO,Faro Technologies Inc.,F,C,C,B,C,997.0735328,.5X
FLGT,Fulgent Genetics Inc,F,D,D,C,C,1910.32067,.5X
FSTR,L.B. Foster Co.,A,C,C,C,C,162.7339046,.25X
G,Genpact Ltd,F,B,B,C,C,8356.181882,2X
GBX,"Greenbrier Cos., Inc.",A,C,C,D,C,1669.404047,.5X
GDRX,GoodRx Holdings Inc,F,,,,,1347.169852,.5X
GKOS,Glaukos Corporation,A,D,C,D,C,2588.329437,1X
GLDD,Great Lakes Dredge & Dock Corporation,D,C,C,C,C,966.4813293,.5X
GNRC,Generac Holdings Inc,F,C,C,B,C,20156.32962,4X
GOLF,Acushnet Holdings Corp,F,C,B,B,B,3279.194977,1X
GT,Goodyear Tire & Rubber Co.,F,B,C,C,C,4001.155613,1X
GWW,W.W. Grainger Inc.,D,B,B,B,B,26138.72651,4X
HLIO,Helios Technologies Inc,F,D,C,D,C,2495.985267,.5X
HLNE,Hamilton Lane Inc,F,D,C,C,C,2969.287768,1X
HQY,Healthequity Inc,A,D,C,C,C,4881.099589,1X
HSKA,Heska Corp.,F,D,C,D,D,1613.854538,.5X
HWM,Howmet Aerospace Inc,A,B,C,C,C,15325.03201,2X
HZN,Horizon Global Corp,F,D,C,C,C,138.1753526,.25X
IART,Integra Lifesciences Holdings Corp,D,C,C,D,C,5415.205177,1X
ICLR,Icon Plc,F,C,B,B,C,19061.51592,2X
ICPT,Intercept Pharmaceuticals Inc,A,D,C,D,D,550.475581,.25X
INFI,Infinity Pharmaceuticals Inc.,F,D,D,C,C,95.81710212,.25X
IONS,Ionis Pharmaceuticals Inc,A,D,C,C,D,4975.456355,1X
ISEE,IVERIC bio Inc,A,D,C,B,C,1743.19751,.5X
JKS,JinkoSolar Holding Co. Ltd,A,,,,,2514.542259,.5X
KONA,Kona Grill Inc,B,,,,,0.5226016,.25X
KSU,Kansas City Southern,A,B,B,C,B,26709.81412,4X
LAD,"Lithia Motors, Inc.",A,C,B,D,C,10285.22848,2X
LAZ,Lazard Ltd.,F,C,C,C,C,3979.515351,1X
LEAF,Leaf Group Ltd,A,D,C,D,D,303.947527,.25X
LIVN,LivaNova PLC,D,D,C,C,C,4271.344364,1X
LNG,Cheniere Energy Inc.,A,B,C,D,C,33440.60821,4X
LNN,Lindsay Corporation,D,C,C,C,C,1638.140205,.5X
LYFT,Lyft Inc,F,D,C,C,C,12608.33702,2X
MCS,Marcus Corp.,D,D,C,D,C,416.602998,.25X
MDP,Meredith Corp.,B,C,C,D,C,2405.327151,.5X
MDXG,Mimedx Group Inc,F,D,C,D,D,554.153193,.25X
MEI,"Methode Electronics, Inc.",F,C,C,C,C,1645.167385,.5X
MGI,Moneygram International Inc.,A,D,C,D,D,970.8781189,.5X
MHK,"Mohawk Industries, Inc.",F,B,B,B,B,9975.415617,2X
MMSI,"Merit Medical Systems, Inc.",A,C,C,C,C,3637.326671,1X
MPLX,MPLX LP,A,,,,,32491.77871,4X
MRTN,"Marten Transport, Ltd.",A,D,C,B,C,1629.439084,.5X
MSM,"MSC Industrial Direct Co., Inc.",D,B,C,D,C,3762.944698,1X
0UAN,Invesco Ltd,F,,,,,9827.644999,2X
ACB,Aurora Cannabis Inc,F,D,C,B,C,703.0938549,.25X
ACOR,Acorda Therapeutics Inc,F,D,C,C,C,18.9110533,.25X
ACRX,Acelrx Pharmaceuticals Inc,F,D,D,F,D,37.7204086,.25X
ADM,Archer Daniels Midland Co.,A,B,B,C,C,46663.22574,4X
ADT,ADT Inc,F,D,C,D,C,5804.315986,1X
ALLE,Allegion plc,F,C,C,B,B,10596.70387,2X
AMBA,Ambarella Inc,F,D,C,B,C,3643.606704,1X
AMWD,American Woodmark Corp.,D,C,C,C,C,996.0834305,.5X
AMZN,Amazon.com Inc.,D,C,D,C,C,1633275.741,4X
ANDE,Andersons Inc.,A,C,C,D,D,1497.05805,.5X
AON,Aon plc.,A,C,B,B,C,71873.37666,4X
APEI,American Public Education Inc,A,C,C,B,C,439.6899125,.25X
ARVN,Arvinas Inc,F,D,C,C,C,3619.942769,1X
AVNS,Avanos Medical Inc,D,D,C,D,D,1564.000198,.5X
AXTA,Axalta Coating Systems Ltd,F,B,B,C,C,5671.16502,1X
BC,Brunswick Corp.,D,C,B,B,B,7226.810378,2X
BE,Bloom Energy Corp,A,C,C,D,C,3490.927065,1X
BHC,Bausch Health Companies Inc,F,B,C,C,C,8683.171871,2X
BIG,Big Lots Inc,F,D,C,C,C,1272.300634,.5X
BLUE,Bluebird bio Inc,F,D,C,C,C,337.2169595,.25X
BOOM,DMC Global Inc,F,C,C,B,C,651.4452549,.25X
BUD,Anheuser-Busch In Bev SA/NV,A,,,,,102627.4044,4X
BWA,BorgWarner Inc,F,B,C,D,C,9260.696559,2X
CAL,Caleres Inc,F,C,C,C,C,789.852841,.25X
CBZ,Cbiz Inc,A,D,C,C,C,2163.58776,.5X
CCMP,CMC Materials Inc,D,B,B,C,C,5471.009303,1X
CFG,Citizens Financial Group Inc,A,C,C,C,C,20984.59499,4X
CHE,Chemed Corp.,D,D,C,B,C,7714.706513,2X
CLDR,Cloudera Inc,A,D,C,C,C,4735.160002,1X
CLH,"Clean Harbors, Inc.",A,B,B,C,C,5919.004077,1X
CLVS,Clovis Oncology Inc,F,D,D,F,D,196.5602348,.25X
CNP,Centerpoint Energy Inc.,A,B,B,C,C,18267.43655,2X
COOP,Mr. Cooper Group Inc,A,D,C,F,D,4086.026533,1X
COTY,Coty Inc,F,C,B,C,C,7393.556592,2X
CPA,Copa Holdings S.A.,D,C,C,B,C,2484.552091,.5X
CPRT,"Copart, Inc.",F,D,C,C,C,30642.87108,4X
CPSI,Computer Programs & Systems Inc,A,D,C,C,C,485.3028835,.25X
CRL,Charles River Laboratories International Inc.,F,C,B,B,B,14452.23929,2X
CSL,Carlisle Companies Inc.,D,B,B,C,C,12807.78019,2X
CSV,"Carriage Services, Inc.",F,D,D,D,D,999.3100874,.5X
CVCO,Cavco Industries Inc,F,C,C,B,C,2623.172676,1X
